mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__solver,param_model__class_weight,param_model__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.053080272674560544,0.0032234973143246237,0.03561291694641113,0.0012656409937774641,liblinear,,1.438449888287663,"{'model__solver': 'liblinear', 'model__class_weight': None, 'model__C': np.float64(1.438449888287663)}",0.9179894179894179,0.917989417989418,0.8862433862433862,0.8915343915343915,0.8711484593837535,0.8969810146280734,0.01841189452766345,14
0.05106759071350098,0.0015976163595511812,0.03810939788818359,0.003375146725909356,liblinear,,0.12742749857031335,"{'model__solver': 'liblinear', 'model__class_weight': None, 'model__C': np.float64(0.12742749857031335)}",0.9312169312169312,0.9285714285714286,0.8968253968253967,0.888888888888889,0.8907563025210083,0.9072517896047307,0.01869150556472766,1
0.061650419235229494,0.010692293706011486,0.03805990219116211,0.0033584594083395612,liblinear,balanced,16.23776739188721,"{'model__solver': 'liblinear', 'model__class_weight': 'balanced', 'model__C': np.float64(16.23776739188721)}",0.8968253968253967,0.91005291005291,0.8809523809523809,0.8835978835978836,0.8599439775910364,0.8862745098039214,0.01676615546459034,31
0.05134735107421875,0.002565592065151785,0.03928341865539551,0.004923246411801726,liblinear,balanced,0.12742749857031335,"{'model__solver': 'liblinear', 'model__class_weight': 'balanced', 'model__C': np.float64(0.12742749857031335)}",0.9232804232804233,0.9285714285714286,0.8968253968253967,0.888888888888889,0.8879551820728292,0.9051042639277933,0.017358857231070307,4
0.06611533164978027,0.006457666019763361,0.03549838066101074,0.0004308764255436227,lbfgs,,29.763514416313193,"{'model__solver': 'lbfgs', 'model__class_weight': None, 'model__C': np.float64(29.763514416313193)}",0.9021164021164021,0.9074074074074073,0.8756613756613756,0.8835978835978836,0.8655462184873949,0.8868658574540926,0.015781517404990873,30
0.05390605926513672,0.004843038950000492,0.03541746139526367,0.0005732454251108278,liblinear,,0.7847599703514607,"{'model__solver': 'liblinear', 'model__class_weight': None, 'model__C': np.float64(0.7847599703514607)}",0.9206349206349207,0.9259259259259258,0.8888888888888888,0.8968253968253969,0.8767507002801121,0.9018051665110489,0.018738864890744278,11
0.0546269416809082,0.005911970777176115,0.04231843948364258,0.013441144447765813,liblinear,,54.555947811685144,"{'model__solver': 'liblinear', 'model__class_weight': None, 'model__C': np.float64(54.555947811685144)}",0.9021164021164021,0.9074074074074073,0.8703703703703703,0.8835978835978836,0.8739495798319328,0.8874883286647993,0.01484727591046686,29
0.0540280818939209,0.004446762265271821,0.036832571029663086,0.002538707630554061,liblinear,,8.858667904100823,"{'model__solver': 'liblinear', 'model__class_weight': None, 'model__C': np.float64(8.858667904100823)}",0.9074074074074074,0.9206349206349207,0.8809523809523809,0.888888888888889,0.8627450980392157,0.8921257391845627,0.020222987013670667,24
0.05572528839111328,0.005780040855884575,0.041875171661376956,0.007054621519704293,liblinear,balanced,2.636650898730358,"{'model__solver': 'liblinear', 'model__class_weight': 'balanced', 'model__C': np.float64(2.636650898730358)}",0.9074074074074074,0.917989417989418,0.8888888888888888,0.8915343915343915,0.8627450980392156,0.8937130407718643,0.018782495038413845,18
0.09263405799865723,0.019110828368668765,0.06277108192443848,0.01072746324127313,lbfgs,,0.42813323987193913,"{'model__solver': 'lbfgs', 'model__class_weight': None, 'model__C': np.float64(0.42813323987193913)}",0.9206349206349207,0.9312169312169312,0.8915343915343915,0.8915343915343915,0.8795518207282912,0.9028944911297853,0.019595241456149333,9
