mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__reg_lambda,param_model__reg_alpha,param_model__n_estimators,param_model__max_depth,param_model__learning_rate,param_model__colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.4241476058959961,0.09257269408944413,0.06233339309692383,0.021482403093454557,0.7,5.0,0.1,800,5,0.05,0.8,"{'model__subsample': 0.7, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.1, 'model__n_estimators': 800, 'model__max_depth': 5, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.8}",0.9153439153439153,0.8994708994708995,0.8227513227513228,0.8597883597883599,0.8571428571428571,0.8708994708994708,0.03293199221078399,53
0.5766397476196289,0.05339992646086532,0.07323379516601562,0.01679388571836452,1.0,2.0,0.0,500,5,0.03,1.0,"{'model__subsample': 1.0, 'model__reg_lambda': 2.0, 'model__reg_alpha': 0.0, 'model__n_estimators': 500, 'model__max_depth': 5, 'model__learning_rate': 0.03, 'model__colsample_bytree': 1.0}",0.9259259259259258,0.8994708994708995,0.8174603174603174,0.8809523809523809,0.8431372549019608,0.8733893557422968,0.03883499558041879,39
0.35809988975524903,0.05873908406752234,0.06895127296447753,0.01745865920093493,0.7,5.0,0.5,300,5,0.1,0.9,"{'model__subsample': 0.7, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.5, 'model__n_estimators': 300, 'model__max_depth': 5, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.9}",0.9047619047619049,0.8994708994708995,0.8412698412698413,0.8703703703703703,0.8739495798319328,0.8779645191409898,0.022807518445827565,22
0.30269746780395507,0.055018515868585575,0.06494712829589844,0.013749282216268158,0.9,0.5,0.1,300,3,0.03,0.9,"{'model__subsample': 0.9, 'model__reg_lambda': 0.5, 'model__reg_alpha': 0.1, 'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.9}",0.9312169312169313,0.9047619047619048,0.828042328042328,0.8756613756613757,0.8627450980392156,0.8804855275443512,0.0353590222258052,15
0.6072164058685303,0.06020185929390814,0.06494865417480469,0.025498442761162678,0.9,2.0,0.1,800,5,0.03,0.9,"{'model__subsample': 0.9, 'model__reg_lambda': 2.0, 'model__reg_alpha': 0.1, 'model__n_estimators': 800, 'model__max_depth': 5, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.9}",0.9312169312169312,0.9047619047619049,0.8333333333333334,0.873015873015873,0.8543417366946778,0.8793339558045441,0.03498288204170557,18
0.3955413341522217,0.05084262494577449,0.040178966522216794,0.0034642128652202673,0.9,5.0,0.1,800,5,0.05,0.7,"{'model__subsample': 0.9, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.1, 'model__n_estimators': 800, 'model__max_depth': 5, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.7}",0.9232804232804233,0.8915343915343916,0.8333333333333334,0.8597883597883598,0.8571428571428571,0.8730158730158729,0.03121244699206905,40
0.3729656219482422,0.014114156994638482,0.03948507308959961,0.003944066071142321,0.8,1.0,0.5,800,3,0.01,0.9,"{'model__subsample': 0.8, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.5, 'model__n_estimators': 800, 'model__max_depth': 3, 'model__learning_rate': 0.01, 'model__colsample_bytree': 0.9}",0.9365079365079365,0.8941798941798942,0.8492063492063492,0.8756613756613757,0.8795518207282913,0.8870214752567694,0.028687921390172073,3
0.2892306327819824,0.01906189510842811,0.037366199493408206,0.001090178315230391,1.0,0.5,0.0,800,3,0.05,0.7,"{'model__subsample': 1.0, 'model__reg_lambda': 0.5, 'model__reg_alpha': 0.0, 'model__n_estimators': 800, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.7}",0.917989417989418,0.8968253968253969,0.8359788359788359,0.8571428571428572,0.8515406162464986,0.8718954248366012,0.03055525339318927,48
0.24894065856933595,0.01060186585456016,0.03909730911254883,0.0011421401656656477,1.0,0.5,0.5,500,6,0.05,0.7,"{'model__subsample': 1.0, 'model__reg_lambda': 0.5, 'model__reg_alpha': 0.5, 'model__n_estimators': 500, 'model__max_depth': 6, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.7}",0.9285714285714285,0.9047619047619049,0.8174603174603174,0.8783068783068784,0.8487394957983193,0.8755680049797696,0.0394091877048629,32
0.22906222343444824,0.016708511616791332,0.04014778137207031,0.0030794744295221236,1.0,0.5,0.5,300,5,0.03,0.9,"{'model__subsample': 1.0, 'model__reg_lambda': 0.5, 'model__reg_alpha': 0.5, 'model__n_estimators': 300, 'model__max_depth': 5, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.9}",0.917989417989418,0.9021164021164022,0.8253968253968255,0.8835978835978837,0.8571428571428571,0.8772486772486772,0.03289797154859221,26
0.37926230430603025,0.020862293573096484,0.03818964958190918,0.0016580675915944204,0.9,5.0,0.1,800,4,0.05,0.9,"{'model__subsample': 0.9, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.1, 'model__n_estimators': 800, 'model__max_depth': 4, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.9}",0.9153439153439153,0.8915343915343916,0.8359788359788359,0.8624338624338624,0.8571428571428571,0.8724867724867724,0.027816803022423134,46
0.4075808048248291,0.014989598488890534,0.03907327651977539,0.001758335209861728,0.8,1.0,0.0,1000,3,0.01,0.7,"{'model__subsample': 0.8, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.0, 'model__n_estimators': 1000, 'model__max_depth': 3, 'model__learning_rate': 0.01, 'model__colsample_bytree': 0.7}",0.9259259259259258,0.8915343915343915,0.8492063492063492,0.8783068783068784,0.8683473389355743,0.8826641767818237,0.025665711643161723,12
